num_samples,profile
71441,為:為爲
44491,所:所𫠦
28753,之:之巻
19874,出:出岀
12564,世:世丗
11910,將:将將
11302,爲:為爲
8187,能:䏻能
7124,於:扵於
6917,清:淸清
5822,與:与與
5176,數:数數
5159,無:无無
5139,得:得淂
4965,隂:陰隂
4852,歸:㱕歸
4716,來:來来
4711,從:従從
4330,事:亊事
4081,明:明眀
4051,傳:傳𫝊
4031,萬:万萬
3978,處:䖏處
3887,𤣥:玄𤣥
3655,樹:樹𣗳
3484,既:既旣
3251,闕:闕𨶕
2994,禮:礼禮
2959,畫:畫𦘕
2897,學:學斈
2867,國:囯國
2864,青:靑青
2704,髙:高髙
2658,侯:侯矦
2652,樂:楽樂
2425,羣:羣群
2346,文:攵文
2335,變:変變
2320,郎:郎郞
2256,今:今仐
2248,聲:声聲
2225,於:于扵
2219,勢:勢𫝑
2120,晉:晉𣈆
2101,發:發𤼵
2071,于:于扵
2047,功:㓛功
2041,本:夲本
2004,卷:卷巻
1993,獲:獲𫉬
1965,兩:两兩
1936,哉:㢤哉
1917,土:土圡
1862,致:致𦤺
1852,或:㦯或
1842,葬:葬𦵏
1830,嘗:嘗甞
1825,厯:暦歴
1825,歴:厯歴
1824,玉:玉玊
1790,世:世丗卋
1780,定:㝎定
1767,即:即卽
1758,黄:黃黄
1711,節:節莭
1707,去:厺去
1665,風:凬風
1642,凡:凡凢
1635,美:美羙
1618,内:內内
1488,啓:啓啟
1486,祭:祭𥙊
1483,徳:徳德
1473,雙:雙𩀱
1462,尚:尙尚
1460,哉:㢤㦲哉
1452,笑:笑𥬇
1451,石:䂖石
1387,逺:逺遠
1378,辭:辝辭
1300,别:別别
1287,等:䓁等
1275,勑:勅勑
1246,乆:久乆
1244,教:敎教
1228,類:類𩔖
1160,再:再𠕅
1153,幾:㡬幾
1151,第:巻第
1147,飲:飮飲
1113,京:京亰
1112,僞:偽僞
1108,留:留畱
1097,聽:聴聽
1070,養:飬養
1057,愛:愛爱
1051,刺:刺剌
1041,解:解觧
1038,稱:称稱
995,歴:暦歴
990,德:徳德
977,陵:陵𨹧
973,發:彂發
971,富:冨富
950,恩:㤙恩
926,絶:絕絶
916,尋:㝷尋
909,歸:㱕歸皈
909,辭:辞辭
899,亂:乱亂
895,吳:吳呉
882,說:說説
876,辭:辤辭
857,因:囙因
851,須:湏須
847,楚:椘楚
840,爾:尓爾
837,器:噐器
836,亡:亡亾
835,告:吿告
834,回:囘回
813,熈:熈熙
807,在:在抂
789,歸:帰歸
786,幸:幸𦍒
785,鄉:郷鄕
783,改:改攺
773,秦:秦𥘿
773,旣:既旣
770,商:商啇
736,惡:惡𢙣
736,輕:䡖輕
715,同:仝同
712,微:㣲微
708,宜:冝宜
700,首:首𩠐
700,以:㠯以
699,專:専專
696,盡:尽盡
690,顧:頋顧
682,舉:㪯舉
677,豐:豊豐
677,竒:奇竒
676,深:㴱深湥
674,高:高髙
674,兊:兊兌
674,以:㕥以
666,宿:宿𪧐
666,易:易昜
664,隆:隆𨺚
658,藏:蔵藏
655,象:象𧰼
652,關:闗關
649,盖:盖葢
644,坐:㘴坐
639,爭:争爭
638,忘:㤀忘
636,多:多朶
632,鄉:郷鄉
625,𨵿:闗關
607,曉:暁曉
607,袁:袁𡊮
606,兒:児兒
598,名:名𤣥
591,死:死𣦸
588,劉:刘劉
578,伏:㐲伏
573,隱:隠隱
563,𢎞:弘𢎞
558,已:已巳
552,貌:貌貎
548,顯:顯𩔰
532,戰:戰𢧐
528,然:然肰
528,貌:㒵皃
527,看:㸔看
516,體:体體
510,居:㞐居
507,明:明朙
504,爲:為謂
502,久:久乆
501,處:処處
501,盖:盖葢蓋
500,游:㳺游
499,緑:綠緑
495,真:眞真
492,脉:脈脉
478,總:揔緫
477,畫:画畫
473,略:略畧
472,晩:晚晩
468,注:注註
467,裏:裏裡
467,虚:虚虛
460,丘:丘邱
457,斷:㫁斷
449,著:着著
445,皃:貌貎
443,無:旡無
441,邊:邉邊
437,收:収收
437,似:似佀
436,遊:逰遊
433,斷:断斷
433,㡬:㡬幾
432,蓋:盖蓋
429,倚:倚𠋣
426,賔:賓賔
425,遷:迁遷
423,錢:銭錢
423,貴:䝿貴
422,屬:属屬
421,關:關𨵿
416,降:䧏降
416,雖:虽雖
416,篇:篇萹
416,㒵:貌貎
415,隨:随隨
414,笑:咲笑𥬇
413,合:合瑪
412,蓋:葢蓋
412,從:徔從
409,船:舩船
406,歸:㱕帰歸
399,興:㒷興
396,禄:祿禄
395,歳:嵗歲歳
394,庶:庶庻
389,辭:辞辤辭
388,圖:圖圗
387,母:毋母
385,魯:嚕魯
384,賛:賛贊
383,惠:恵惠
362,榖:榖穀
362,臺:䑓臺
360,號:号號
355,恱:恱悦
354,樓:楼樓
353,巻:卷巻
352,名:名構
351,吴:吳呉
351,十:十卄卅
342,類:𩔖𩔗
341,體:躰體
339,獻:献獻
337,晉:晉晋𣈆
336,歲:嵗歲
335,舊:旧舊
333,貎:㒵皃
331,𧷢:贓贜
329,勅:勑𠡠
328,雙:双雙𩀱
328,録:錄録
328,爾:尔爾
328,敕:敇敕
327,况:况況
327,奇:奇竒
326,聽:聴聼聽
319,野:埜野
317,謂:爲謂
316,荅:答荅
314,鎮:鎭鎮
308,闗:関闗
308,支:支攴
302,哉:㢤㦲
301,夢:夢梦
295,夢:夢夣
291,勑:勅敇
290,来:來来
288,狀:状狀
285,窮:窮竆
284,據:㩀據
284,實:实實
281,寳:寳寶
281,鹽:塩鹽
279,齊:斉齊
278,備:備𤰅
277,鄉:郷鄉鄕
277,昜:易昜
274,選:選𨕖
274,備:俻備
270,某:厶某
267,鍼:針鍼
266,兹:兹玆
263,闗:關𨵿
259,況:况況
259,並:並竝
259,懷:懐懷
258,博:博愽
257,靜:静靜
257,輙:輒輙
256,盖:葢蓋
256,曽:曽曾
254,巳:己已
253,晉:晉晋
251,隠:隱𨼆
251,刻:刻𠜇
250,黃:黃黄
248,歳:嵗歳
247,嚴:嚴𫿞
245,爾:尓尔爾
244,卒:䘚卒
242,聽:聼聽
240,最:冣最
238,勢:势𫝑
236,寧:寕寧
235,劒:劍劒
234,柳:柳栁
231,遠:逺遠
230,登:登豋
230,逹:逹達
230,遥:遙遥
230,歩:步歩
229,陰:陰隂
227,淵:淵渊
225,勑:勑𠡠
223,滅:㓕滅
222,留:㽞留
222,亦:亦尔
221,廟:庙廟
220,顯:顕顯𩔰
219,宫:宫宮
219,回:回囬
217,世:世卋
216,隱:隱𨼆
215,関:闗關
213,廉:亷廉
210,鬢:鬢𩯭
206,没:沒没
205,筆:筆茟
205,刺:刺刾
201,闗:関𨵿
200,廟:庿廟
199,于:于於
198,蘇:蘇蘓
198,戸:户戸
197,從:従徔從
197,煙:烟煙
196,醉:酔醉
195,元:元玄
192,潜:潛潜
189,吕:吕呂
189,總:緫總
188,縱:縦縱
185,護:䕶護
185,兩:両兩
184,宜:冝宐宜
184,偽:偽僞
183,舎:舍舎
183,鄉:郷鄉鄊
182,答:答荅
179,過:過𬨨
177,厭:厭猒
177,從:从從
177,風:凨風
176,鄉:郷鄊
175,弘:宏𢎞
174,勅:勅𠡠
173,虚:虗虚
173,草:艸草
172,厯:厯暦
171,壽:壽夀
170,明:明朙眀
169,助:助𦔳
168,乾:乹乾
168,望:望朢
168,畫:畫畵𦘕
167,職:聀職軄
167,遊:㳺逰
165,斷:㫁断
164,形:形形
164,囬:囘回
162,憐:怜憐
162,醫:毉醫
161,濟:済濟
161,雄:䧺雄
161,圓:圎圓
159,覽:覧覽
159,喪:䘮喪
159,鄉:鄉鄕
158,統:統綂
158,獨:独獨
157,彊:強彊
155,變:变変變
154,綠:綠緑
150,寧:寕寜
149,添:添𣷹
149,逃:迯逃
147,謚:諡謚
146,増:増增
146,隋:陏隋
146,門:門门
144,強:強强
143,紫:紫𬗋
143,散:㪚散
143,窓:忩窓窻
143,閒:閑閒
142,强:強强
142,離:離𩀌
142,廵:巡廵
141,彦:彥彦
139,簡:簡𥳑
139,帶:帯帶
139,䇿:䇿策
139,逰:逰遊
138,已:己已
137,隱:隐隠隱
137,吳:吳吴呉
137,峰:峯峰
137,呉:吴呉
137,貌:㒵皃貌
136,急:急𢚩
136,燕:燕鷰
135,畫:畫畵
135,每:毎每
135,時:时時
134,揔:揔摠總
134,舍:舍舎
133,參:参參
133,篆:篆篆
132,迴:廻迴
132,嵗:歲歳
132,深:㴱深
131,壯:壮壯
131,勞:劳勞
130,多:多夛
129,低:仾低
129,體:体躰體
128,鄉:鄉鄊
128,茂:茂荗
128,勢:勢埶
127,木:木朩
127,頼:賴頼
127,眞:眞真
127,修:修脩
126,留:㽜留
124,劫:刼劫
124,莊:荘莊
123,䆫:牕窓
123,苟:苟茍
123,笑:咲笑
123,曹:曹曺
123,户:戶户
123,閑:閒闲
122,苑:苑𫟍
122,克:克𠑽
122,遲:遟遲
122,諫:諌諫
121,冊:冊册
120,蕭:䔥蕭
120,離:离離
119,帆:㠶帆
119,叔:叔𠦑
119,聞:聞闻
118,總:㹅惣揔
118,歳:嵗歲
117,檢:撿檢
117,剥:剝剥
115,䑓:䑓臺
114,翠:翆翠
113,闗:闗𨵿
113,亡:亡兦
113,雙:䨇𩀱
113,嘗:嘗尝
112,厎:厎底
112,景:㬌景
111,畀:畀𢌿
111,校:挍校
110,泰:㤗泰
110,暦:厯歴
110,繼:継繼
110,曾:曽曾
110,懐:懐懷
109,㓜:㓜幼
109,巢:巢巣
109,䟽:䟽疏
109,顔:顏顔
108,趨:趍趨
108,懼:愳懼
107,𠡠:勅勑
107,禪:禅禪
107,慎:愼慎
106,黒:黑黒
106,𦘕:畫畵
106,夜:亱夜
105,筋:䈥筋
105,鶴:寉鶴
105,雙:㕠双
105,嵗:嵗歳
104,晚:晚晩
104,寧:寍寧
104,據:拠據
102,窻:䆫牎
102,䘮:䘮喪
102,簡:簡蕳
102,鳯:鳯鳳
102,釋:釋𥼶
102,夢:夢萝
101,充:充𠑽
101,䆫:忩窻
100,爾:児尓
100,㑹:㑹會
99,肯:肎肯
99,惡:悪惡
98,全:全訂
97,館:舘館
97,體:体軆體
97,兩:㒳兩
95,廼:廼迺
95,猶:犹猶
95,擊:撃擊
95,栁:栁桞
95,法:㳒法
92,禄:䘵禄
91,恭:㳟恭
90,盡:䀆盡
90,畝:畝畞
89,産:產産
89,堯:堯尭
88,廻:廻𢌞
88,牎:忩窻
88,歳:歲歳
86,畧:略畧
86,仙:仙僊
85,傅:傅𫝊
84,脫:托脱
82,痕:㾗痕
80,閑:閑閒
79,戯:戯戲
79,面:面靣
78,船:舡船
78,吳:吴呉
77,農:䢉農
76,苗:苖苗
76,與:歟與
75,夷:夷𡗝
74,雙:㕠雙
73,藥:薬藥
73,鉄:鐡鐵
73,㸃:㸃點
73,類:類𩔗
73,虛:虚虛
70,變:变變
68,關:関𨵿
67,桑:桑桒
67,晉:晋𣈆
65,讓:譲讓
63,聮:聨聫
63,職:職軄
60,彌:弥彌
59,嵗:嵗歲
59,寜:寍寧
58,霸:覇霸
58,輒:輒輙
57,徵:徴徵
56,横:横橫
55,聦:聦聰
52,集:註集
50,雙:双雙
45,減:减減
43,還:还還
41,機:机機
